,bang SEN,zekken SEN,johnqt SEN,Zellsis SEN,N4RRATE SEN
grubinho GX,,1 1 +0,0 1 -1,,0 1 -1
westside GX,,,,0 3 -3,
ara GX,2 0 +2,3 1 +2,2 0 +2,1 1 +0,2 0 +2
Cloud GX,,0 2 -2,,,
Flickless GX,,0 1 -1,,,
