,bang SEN,zekken SEN,johnqt SEN,Zellsis SEN,N4RRATE SEN
grubinho GX,6 8 -2,8 13 -5,7 8 -1,6 6 +0,9 7 +2
westside GX,7 6 +1,5 7 -2,9 11 -2,13 6 +7,3 7 -4
ara GX,9 9 +0,11 11 +0,5 9 -4,7 6 +1,11 5 +6
Cloud GX,14 2 +12,14 11 +3,8 7 +1,7 3 +4,8 13 -5
Flickless GX,3 4 -1,8 4 +4,6 11 -5,6 7 -1,9 6 +3
