,bang SEN,zekken SEN,johnqt SEN,Zellsis SEN,N4RRATE SEN
grubinho GX,1 4 -3,3 7 -4,1 0 +1,1 4 -3,2 1 +1
westside GX,2 3 -1,2 5 -3,1 3 -2,4 0 +4,1 5 -4
ara GX,3 3 +0,3 3 +0,1 5 -4,1 1 +0,2 0 +2
Cloud GX,1 2 -1,4 3 +1,3 2 +1,1 1 +0,0 6 -6
Flickless GX,1 2 -1,1 2 -1,1 3 -2,1 3 -2,3 3 +0
