,Monyet RRQ,xffero RRQ,crazyguy RRQ,Kushy RRQ,Jemkin RRQ
BuZz T1,9 15 -6,7 11 -4,10 5 +5,3 9 -6,7 15 -8
stax T1,7 14 -7,10 9 +1,8 6 +2,9 8 +1,11 10 +1
Meteor T1,8 9 -1,5 9 -4,7 5 +2,13 9 +4,10 16 -6
iZu T1,10 6 +4,12 9 +3,9 10 -1,11 13 -2,17 5 +12
Sylvan T1,10 6 +4,3 14 -11,7 3 +4,13 12 +1,3 14 -11
