,Monyet RRQ,xffero RRQ,crazyguy RRQ,Kushy RRQ,Jemkin RRQ
BuZz T1,4 4 +0,2 4 -2,4 1 +3,1 1 +0,3 6 -3
stax T1,2 3 -1,1 3 -2,2 0 +2,2 5 -3,2 4 -2
Meteor T1,1 2 -1,0 3 -3,2 2 +0,1 2 -1,1 5 -4
iZu T1,2 1 +1,4 0 +4,1 4 -3,2 5 -3,5 3 +2
Sylvan T1,3 1 +2,1 2 -1,0 3 -3,4 3 +1,0 6 -6
