,Monyet RRQ,xffero RRQ,crazyguy RRQ,Kushy RRQ,Jemkin RRQ
BuZz T1,2 4 -2,4 3 +1,4 3 +1,2 3 -1,4 5 -1
stax T1,3 5 -2,3 3 +0,3 4 -1,6 1 +5,6 3 +3
Meteor T1,4 2 +2,2 3 -1,1 3 -2,5 5 +0,2 6 -4
iZu T1,5 3 +2,4 5 -1,5 3 +2,4 2 +2,5 1 +4
Sylvan T1,2 3 -1,1 5 -4,3 0 +3,3 6 -3,2 5 -3
