,Monyet RRQ,xffero RRQ,crazyguy RRQ,Kushy RRQ,Jemkin RRQ
BuZz T1,3 7 -4,1 4 -3,2 1 +1,0 5 -5,0 4 -4
stax T1,2 6 -4,6 3 +3,3 2 +1,1 2 -1,3 3 +0
Meteor T1,3 5 -2,3 3 +0,4 0 +4,7 2 +5,7 5 +2
iZu T1,3 2 +1,4 4 +0,3 3 +0,5 6 -1,7 1 +6
Sylvan T1,5 2 +3,1 7 -6,4 0 +4,6 3 +3,1 3 -2
