,Monyet RRQ,xffero RRQ,crazyguy RRQ,Kushy RRQ,Jemkin RRQ
BuZz T1,2 3 -1,1 1 +0,1 0 +1,,0 4 -4
stax T1,,,,,0 1 -1
Meteor T1,1 0 +1,,,,0 1 -1
iZu T1,,0 1 -1,1 1 +0,0 1 -1,2 1 +1
Sylvan T1,,,,,0 1 -1
