,Monyet RRQ,xffero RRQ,crazyguy RRQ,Kushy RRQ,Jemkin RRQ
BuZz T1,0 1 -1,0 1 -1,1 0 +1,,1 3 -2
stax T1,0 1 -1,0 1 -1,,,1 0 +1
Meteor T1,,,0 1 -1,,1 0 +1
iZu T1,,,1 0 +1,,1 1 +0
Sylvan T1,,,,2 0 +2,0 1 -1
