,s0m NRG,crashies NRG,Victor NRG,Ethan NRG,FiNESSE NRG
TenZ SEN,7 2 +5,3 3 +0,3 7 -4,7 0 +7,3 4 -1
johnqt SEN,0 6 -6,2 1 +1,5 2 +3,2 5 -3,6 3 +3
Zellsis SEN,2 3 -1,4 5 -1,6 2 +4,4 2 +2,5 2 +3
zekken SEN,4 3 +1,6 1 +5,6 7 -1,4 7 -3,4 1 +3
Sacy SEN,5 2 +3,4 3 +1,4 5 -1,2 4 -2,4 2 +2
