,s0m NRG,crashies NRG,Victor NRG,Ethan NRG,FiNESSE NRG
TenZ SEN,10 5 +5,5 6 -1,8 11 -3,8 1 +7,5 6 -1
johnqt SEN,3 8 -5,3 2 +1,6 6 +0,6 6 +0,7 6 +1
Zellsis SEN,6 3 +3,7 8 -1,9 3 +6,8 6 +2,7 4 +3
zekken SEN,9 8 +1,12 2 +10,11 8 +3,5 13 -8,9 2 +7
Sacy SEN,7 6 +1,8 5 +3,6 6 +0,7 6 +1,10 3 +7
