,s0m NRG,crashies NRG,Victor NRG,Ethan NRG,FiNESSE NRG
TenZ SEN,1 0 +1,0 1 -1,1 2 -1,3 0 +3,
johnqt SEN,2 1 +1,,1 2 -1,,0 1 -1
Zellsis SEN,1 0 +1,,1 1 +0,,
zekken SEN,1 2 -1,3 0 +3,7 2 +5,0 3 -3,1 1 +0
Sacy SEN,1 1 +0,,2 2 +0,0 1 -1,0 1 -1
