,s0m NRG,crashies NRG,Victor NRG,Ethan NRG,FiNESSE NRG
TenZ SEN,3 3 +0,2 3 -1,5 4 +1,1 1 +0,2 2 +0
johnqt SEN,3 2 +1,1 1 +0,1 4 -3,4 1 +3,1 3 -2
Zellsis SEN,4 0 +4,3 3 +0,3 1 +2,4 4 +0,2 2 +0
zekken SEN,5 5 +0,6 1 +5,5 1 +4,1 6 -5,5 1 +4
Sacy SEN,2 4 -2,4 2 +2,2 1 +1,5 2 +3,6 1 +5
