,s0m NRG,crashies NRG,Victor NRG,Ethan NRG,FiNESSE NRG
TenZ SEN,1 0 +1,0 1 -1,0 1 -1,3 0 +3,
johnqt SEN,,,1 1 +0,,0 1 -1
Zellsis SEN,,,1 1 +0,,
zekken SEN,,1 0 +1,3 2 +1,0 2 -2,1 0 +1
Sacy SEN,1 0 +1,,2 2 +0,,0 1 -1
