,Lysoar FPX,BerLIN FPX,Autumn FPX,AAAAY FPX,Life FPX
TenZ SEN,11 1 +10,2 5 -3,9 7 +2,6 3 +3,5 7 -2
Zellsis SEN,4 2 +2,8 5 +3,6 8 -2,4 4 +0,4 1 +3
zekken SEN,10 1 +9,8 7 +1,4 8 -4,8 4 +4,9 4 +5
johnqt SEN,3 3 +0,4 4 +0,7 2 +5,3 2 +1,5 5 +0
Sacy SEN,1 4 -3,6 5 +1,5 7 -2,4 3 +1,9 5 +4
