,Lysoar FPX,BerLIN FPX,Autumn FPX,AAAAY FPX,Life FPX
TenZ SEN,6 1 +5,2 4 -2,4 3 +1,5 0 +5,2 3 -1
Zellsis SEN,1 1 +0,3 2 +1,3 2 +1,1 0 +1,1 1 +0
zekken SEN,5 0 +5,4 1 +3,2 5 -3,3 3 +0,5 2 +3
johnqt SEN,1 2 -1,3 1 +2,4 1 +3,1 1 +0,1 2 -1
Sacy SEN,1 2 -1,2 3 -1,2 1 +1,3 2 +1,6 2 +4
