,Lysoar FPX,BerLIN FPX,Autumn FPX,AAAAY FPX,Life FPX
TenZ SEN,,,1 0 +1,,1 1 +0
Zellsis SEN,,1 1 +0,0 2 -2,,
zekken SEN,1 0 +1,0 1 -1,0 1 -1,1 0 +1,1 1 +0
johnqt SEN,,0 1 -1,0 1 -1,,2 0 +2
Sacy SEN,,,1 1 +0,,1 1 +0
