,Lysoar FPX,BerLIN FPX,Autumn FPX,AAAAY FPX,Life FPX
TenZ SEN,1 0 +1,,2 1 +1,,1 1 +0
Zellsis SEN,,2 1 +1,0 3 -3,,
zekken SEN,1 0 +1,1 1 +0,1 3 -2,2 0 +2,4 1 +3
johnqt SEN,,0 1 -1,1 2 -1,,3 0 +3
Sacy SEN,,,1 1 +0,0 1 -1,2 1 +1
