,Lysoar FPX,BerLIN FPX,Autumn FPX,AAAAY FPX,Life FPX
TenZ SEN,1 0 +1,,1 1 +0,,
Zellsis SEN,,1 0 +1,0 1 -1,,
zekken SEN,,1 0 +1,1 2 -1,1 0 +1,3 0 +3
johnqt SEN,,,1 1 +0,,1 0 +1
Sacy SEN,,,,0 1 -1,1 0 +1
