,Lysoar FPX,BerLIN FPX,Autumn FPX,AAAAY FPX,Life FPX
TenZ SEN,1 0 +1,,0 1 -1,,
Zellsis SEN,,,0 1 -1,,
zekken SEN,,,0 1 -1,,
johnqt SEN,,,0 1 -1,,
Sacy SEN,,,0 2 -2,,
