,DH T1,stax T1,iZu T1,BuZz T1,Meteor T1
MiniBoo TH,2 5 -3,4 2 +2,6 4 +2,4 2 +2,1 3 -2
RieNs TH,5 2 +3,3 1 +2,3 3 +0,4 4 +0,4 6 -2
Wo0t TH,6 4 +2,0 2 -2,3 6 -3,3 3 +0,7 4 +3
Boo TH,1 3 -2,3 1 +2,3 4 -1,4 2 +2,3 5 -2
benjyfishy TH,2 2 +0,3 4 -1,1 4 -3,2 3 -1,2 6 -4
