,DH T1,stax T1,iZu T1,BuZz T1,Meteor T1
MiniBoo TH,3 1 +2,0 1 -1,2 3 -1,5 1 +4,0 2 -2
RieNs TH,,,,1 0 +1,0 1 -1
Wo0t TH,1 1 +0,,4 1 +3,1 1 +0,2 1 +1
Boo TH,,,,2 0 +2,0 3 -3
benjyfishy TH,0 1 -1,1 0 +1,0 3 -3,1 1 +0,0 3 -3
