,DH T1,stax T1,iZu T1,BuZz T1,Meteor T1
MiniBoo TH,9 6 +3,7 7 +0,10 8 +2,5 5 +0,3 6 -3
RieNs TH,8 6 +2,9 2 +7,8 8 +0,7 7 +0,10 7 +3
Wo0t TH,9 7 +2,5 3 +2,10 9 +1,7 7 +0,11 7 +4
Boo TH,2 7 -5,6 1 +5,5 6 -1,7 6 +1,6 9 -3
benjyfishy TH,5 6 -1,6 4 +2,1 9 -8,8 7 +1,5 8 -3
