,DH T1,stax T1,iZu T1,BuZz T1,Meteor T1
MiniBoo TH,1 1 +0,,1 1 +0,4 1 +3,0 1 -1
RieNs TH,,,,1 0 +1,0 1 -1
Wo0t TH,0 1 -1,,,,1 0 +1
Boo TH,,,,1 0 +1,0 2 -2
benjyfishy TH,,,0 3 -3,1 1 +0,0 2 -2
