,jawgemo G2,trent G2,BABYBAY G2,JonahP G2,valyn G2
adverso FUR,3 1 +2,1 5 -4,2 4 -2,3 2 +1,4 1 +3
Urango FUR,1 0 +1,1 2 -1,3 2 +1,1 4 -3,1 5 -4
heat FUR,1 6 -5,5 2 +3,2 0 +2,5 1 +4,2 3 -1
tuyz FUR,3 2 +1,1 4 -3,1 0 +1,0 2 -2,1 3 -2
Palla FUR,2 5 -3,1 3 -2,3 3 +0,1 1 +0,2 4 -2
