,jawgemo G2,trent G2,BABYBAY G2,JonahP G2,valyn G2
adverso FUR,1 0 +1,,0 1 -1,0 2 -2,1 0 +1
Urango FUR,0 1 -1,,,,0 1 -1
heat FUR,1 2 -1,,,2 0 +2,2 0 +2
tuyz FUR,0 1 -1,,1 0 +1,1 0 +1,
Palla FUR,3 4 -1,0 1 -1,1 3 -2,1 0 +1,2 1 +1
