,jawgemo G2,trent G2,BABYBAY G2,JonahP G2,valyn G2
adverso FUR,,,0 2 -2,,
Urango FUR,,,,,
heat FUR,1 0 +1,2 0 +2,,2 0 +2,1 0 +1
tuyz FUR,,,,,
Palla FUR,,,0 1 -1,,
