,jawgemo G2,trent G2,BABYBAY G2,JonahP G2,valyn G2
adverso FUR,2 4 -2,1 1 +0,2 2 +0,0 2 -2,3 3 +0
Urango FUR,2 2 +0,0 5 -5,3 4 -1,1 0 +1,0 3 -3
heat FUR,4 3 +1,1 1 +0,0 6 -6,4 1 +3,2 1 +1
tuyz FUR,0 4 -4,3 2 +1,1 3 -2,1 0 +1,1 2 -1
Palla FUR,4 4 +0,0 2 -2,2 3 -1,2 2 +0,2 3 -1
