,jawgemo G2,trent G2,BABYBAY G2,JonahP G2,valyn G2
adverso FUR,1 0 +1,,,,
Urango FUR,0 1 -1,,,,
heat FUR,0 1 -1,,,,1 0 +1
tuyz FUR,0 1 -1,,1 0 +1,1 0 +1,
Palla FUR,2 2 +0,,0 3 -3,,1 0 +1
